title,month(cin),day(cin),hour(cin),minute(cin),deweyClass,"TIMESTAMPDIFF(DAY,cout,cin)"
"English ESL 2 Wake up smiling",1,2,15,2,428.3461,0
"French Disc 4 In my home",1,2,15,2,448.3421,0
"Arabic for babies toddlers and preschoolers Disc 2 Wake up smiling",1,2,15,3,492.7071,0
"German for babies toddlers and preschoolers Disc 5 Happy sad and silly",1,2,15,3,438.3421,0
"Arabic for babies toddlers and preschoolers Disc 1 Eating and drinking",1,2,15,3,492.7071,0
"Arabic for babies toddlers and preschoolers Disc 3 Playtime",1,2,15,3,492.7071,0
"Snowplows on patrol",1,3,15,20,625.763,1
"Critter quest bug out on a backyard safari",1,4,13,57,595.7,2
"Food chains",1,4,14,11,577.16,2
"Sid the science kid Going going green",1,4,17,19,791.4575,0
"Sid the science kid Gizmos and gadgets",1,4,17,20,621.8,0
"Sid the science kid Sid in motion",1,4,17,27,500,0
"Early start Mandarin Chinese Volume 3 A wonderful day",1,5,13,54,495.18342,2
"Activity TV Thanksgiving",1,5,13,54,745.59416,2
"Im a potty pirate potty training for boys",1,5,13,54,649.62,2
"Im a potty princess potty training for girls",1,5,13,54,649.62,2
"Land sea air adventures",1,5,14,34,623.8245,1
Dog,1,5,16,15,599.77,2
"Humanoid robots",1,5,17,48,629.892,3
Dog,1,6,14,42,599.77,1
"Spanish Disc 5 Happy sad and silly",1,7,10,13,468.3421,1
"Mandarin Chinese Disc 6 I can count",1,7,10,13,495.13421,1
Fish,1,7,10,49,597,2
"Kids love Spanish Volume 1 Basic words",1,7,12,12,468.3421,5
"Mom Dad me aprendemos EspaÂ¤ol",1,7,12,12,468.3421,5
"Signing time Series 2 volume 7 My favorite sport",1,7,12,16,419.7,3
"Mister Rogers neighborhood What do you do with the mad that you feel",1,7,13,55,152.47,1
"Mandarin Chinese Disc 4 In my home",1,7,13,57,495.13421,2
"I love airplanes",1,7,14,42,629.133,4
"Noahs ark",1,7,15,2,222.11095,2
"Jazz class for kids",1,7,18,39,793.3,2
"JammX kids Adventure one Cant dance dont want to",1,7,18,39,791.4572,2
"Nursery tap hip to toe Vol 1 Along came a spider",1,7,18,39,792.7,2
"Learn hip hop step by step",1,7,18,39,782.42164,2
"Tot tap a fun filled introduction to the world of tap dance for kids",1,7,19,47,792.78,4
"Families of Egypt",1,8,11,8,962.055,5
"Colonial America",1,8,11,8,973.2,5
"Eyewitness Volcano",1,8,11,24,551.21,4
"Wild about safety Timon and Pumbaa Safety smart online",1,8,12,26,004.67808,4
"Wiggles Lets eat",1,8,12,26,782.42083,4
"Doodlebops Live in concert",1,8,12,27,782.42083,4
"Mighty machines Machines on the job",1,8,12,52,621.8,4
"Eyewitness Weather",1,8,12,52,551.55,4
"Soundable words Long and short vowels",1,8,13,46,372.465,4
"Read along stories on DVD",1,8,13,46,372.4,4
"Schoolhouse rock Science",1,8,14,0,500,6
"world of learning Volume 2",1,8,15,10,629.13334,1
"Why Guy questions a firefighter",1,8,15,21,628.925,3
"Spend a day with police officers",1,8,15,21,363.2,3
"Fire trucks in action",1,8,15,21,628.9259,3
"Police station",1,8,15,21,363.20973,3
Deserts,1,8,15,29,577.54,6
"Fish shellfish other underwater life",1,8,15,29,597,6
"Lots lots of jets and planes Vol 1 Thunder in the skies",1,8,15,47,629.13334,5
"Animal atlas Fun on the farm",1,8,19,15,630.68,6
"Harriet Tubman",1,9,11,36,973.7115,6
